Numéro;Client;Date;Total HT;Total TTC;Acompte TTC;TTC origine;Mt acompte;MT Réglé;MT Perte;Reste dû;Comptabilisée;Acompte HT;TVA / Acompte
F 20100201;IN4001 - INQUARTO Consulting;16/02/2010;4480;5358,08;0;;0;0;0;5358,08;Non;0;0
F 20100301;IN4001 - INQUARTO Consulting;17/03/2010;2366;2829,74;0;;0;0;0;2829,74;Non;0;0
F 20100401;IN4001 - INQUARTO Consulting;11/04/2010;6436,5;7698,05;0;;0;0;0;7698,05;Non;0;0
F 20100402;SEXT01 - SEXTANT consulting;27/04/2010;3500;4186;0;;0;0;0;4186;Non;0;0
F 20100501;IN4001 - INQUARTO Consulting;14/05/2010;2100;2511,6;0;;0;0;0;2511,6;Non;0;0
F 20100502;KIET01 - KIETUDE consulting;17/05/2010;3500;4186;0;;0;0;0;4186;Non;0;0
A 20100503;KIET01 - KIETUDE consulting;31/05/2010;-3500;-4186;0;;0;0;0;-4186;Non;0;0
F 20100504;IN4001 - INQUARTO Consulting;31/05/2010;2694;3222,02;0;;0;0;0;3222,02;Non;0;0
F 20100701;IN4001 - INQUARTO Consulting;14/07/2010;2803,5;3352,99;0;;0;0;0;3352,99;Non;0;0
F 20100702;KIET01 - KIETUDE consulting;14/07/2010;1000;1196;0;;0;0;0;1196;Non;0;0
F 20100703;SEXT01 - SEXTANT CONSULTING;14/07/2010;500;598;0;;0;0;0;598;Non;0;0
F 20100801;IN4001 - INQUARTO Consulting;11/08/2010;2313,5;2766,95;0;;0;0;0;2766,95;Non;0;0
F 20100802;ACAC99 - EURL ACACIA99;11/08/2010;600;717,6;0;;0;0;0;717,6;Non;0;0
F 20100901;IN4001 - INQUARTO Consulting;06/09/2010;1823,5;2180,91;0;;0;0;0;2180,91;Non;0;0
F 20101001;IN4001 - INQUARTO Consulting;06/10/2010;1825,6;2183,42;0;;0;0;0;2183,42;Non;0;0
F 20101101;IN4001 - INQUARTO Consulting;31/10/2010;1823,5;2180,91;0;;0;0;0;2180,91;Non;0;0
F 20101102;SEXT01 - SEXTANT CONSULTING;02/11/2010;1000;1196;0;;0;0;0;1196;Non;0;0
F 20101201;IN4001 - INQUARTO Consulting;30/11/2010;2313,5;2766,95;0;;0;0;0;2766,95;Non;0;0
F 20101202;KIET01 - KIETUDE consulting;06/12/2010;1000;1196;0;;0;0;0;1196;Non;0;0
F 20101203;GONZ01 - Dr Jean-Charles GONZALVEZ;21/12/2010;710;849,16;0;;0;0;0;849,16;Non;0;0
