Client;Catégorie;Description;Heures Clockify;Heures Facturées;Écart;Taux;Montant HT;TVA;Montant TTC
LAA;Dette technologique;Migration CRM, refactoring code legacy;27,00;27,00;0,00;100,00;2700,00;540,00;3240,00
LAA;Tests;Tests unitaires, tests d'intégration, validation;21,50;21,50;0,00;100,00;2150,00;430,00;2580,00
LAA;Développements;Nouvelles fonctionnalités, APIs;9,00;9,00;0,00;100,00;900,00;180,00;1080,00
LAA;Maintenance HF;Hot-fixes, maintenance urgente;5,00;5,00;0,00;100,00;500,00;100,00;600,00
TOTAL LAA;;;62,50;62,50;0,00;;6250,00;1250,00;7500,00
;;;;;;;;;;
LAA MAROC;Maintenance;Support et maintenance;1,50;1,50;0,00;100,00;150,00;0,00;150,00
TOTAL LAA MAROC;;;1,50;1,50;0,00;;150,00;0,00;150,00
;;;;;;;;;;
TOTAL GROUPE LAA;;;64,00;64,00;0,00;;6400,00;1250,00;7650,00
